name,group,elicited_points,value_function,elicitation_meta
Thermal Efficiency,Technical,"[[30.8, 0.0], [36.17, 1.0]]",lambda x: (0.186219739292)*x**1 + (-5.7355679702),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Discharge Burnup,Technical,"[[46.5, 0.0], [55.0, 1.0]]",lambda x: (0.117647058824)*x**1 + (-5.47058823529),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Capital Investment Budgeted,Economic,"[[4000.0, 1.0], [6000.0, 0.75], [8000.0, 0.5], [10000.0, 0.25], [14000.0, 0.0]]",lambda x: (5.06259204713e-09)*x**2 + (-0.000193298969072)*x**1 + (1.70655375552),"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": 14000.0, ""x0"": 8000.0, ""x025"": 10000.0, ""x075"": 6000.0, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Operative + Fuel Costs,Economic,"[[20.0, 1.0], [30.0, 0.5], [35.0, 0.25], [50.0, 0.0]]",lambda x: (0.001)*x**2 + (-0.103666666667)*x**1 + (2.68),"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": 50.0, ""x0"": 30.0, ""x025"": 35.0, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Percived Safety,Social,"[[0.0, 0.0], [1.0, 0.75], [2.0, 1.0]]",lambda x: (-0.25)*x**2 + (1)*x**1 + (1.28197512426e-16),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": 1.0, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Nuclear Waste,Social,"[[5.88, 1.0], [27.71, 0.0]]",lambda x: (-0.0458085203848)*x**1 + (1.26935409986),"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Licensing Status,Feasibility,"[[0.0, 1.0], [0.3333333333333333, 0.75], [0.6666666666666666, 0.5], [1.0, 0.3]]",lambda x: 1.0 if x <= 0.0 else ((1.0 + (0.75 - 1.0)*(x - 0.0)/(0.3333333333333333 - 0.0)) if x <= 0.3333333333333333 else ((0.75 + (0.5 - 0.75)*(x - 0.3333333333333333)/(0.6666666666666666 - 0.3333333333333333)) if x <= 0.6666666666666666 else ((0.5 + (0.3 - 0.5)*(x - 0.6666666666666666)/(1.0 - 0.6666666666666666)) if x <= 1.0 else (0.3)))),"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity,Economic,"[[0.0, 0.4], [0.3333333333333333, 0.4], [0.6666666666666666, 0.4], [1.0, 0.7]]",lambda x: 0.4 if x <= 0.0 else ((0.4 + (0.4 - 0.4)*(x - 0.0)/(0.3333333333333333 - 0.0)) if x <= 0.3333333333333333 else ((0.4 + (0.4 - 0.4)*(x - 0.3333333333333333)/(0.6666666666666666 - 0.3333333333333333)) if x <= 0.6666666666666666 else ((0.4 + (0.7 - 0.4)*(x - 0.6666666666666666)/(1.0 - 0.6666666666666666)) if x <= 1.0 else (0.7)))),"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility,Feasibility,"[[0.0, 0.8], [1.0, 0.9]]",lambda x: 0.8 if x <= 0.0 else ((0.8 + (0.9 - 0.8)*(x - 0.0)/(1.0 - 0.0)) if x <= 1.0 else (0.9)),"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Maturity,Feasibility,"[[1.0, 1.0], [2.666666666666667, 0.8], [4.333333333333334, 0.2], [6.0, 0.15]]",lambda x: 1.0 if x <= 1.0 else ((1.0 + (0.8 - 1.0)*(x - 1.0)/(2.666666666666667 - 1.0)) if x <= 2.666666666666667 else ((0.8 + (0.2 - 0.8)*(x - 2.666666666666667)/(4.333333333333334 - 2.666666666666667)) if x <= 4.333333333333334 else ((0.2 + (0.15 - 0.2)*(x - 4.333333333333334)/(6.0 - 4.333333333333334)) if x <= 6.0 else (0.15)))),"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Complexity,Economic,"[[1.0, 0.0], [2.666666666666667, 0.33], [4.333333333333334, 0.66], [6.0, 1.0]]",lambda x: 0.0 if x <= 1.0 else ((0.0 + (0.33 - 0.0)*(x - 1.0)/(2.666666666666667 - 1.0)) if x <= 2.666666666666667 else ((0.33 + (0.66 - 0.33)*(x - 2.666666666666667)/(4.333333333333334 - 2.666666666666667)) if x <= 4.333333333333334 else ((0.66 + (1.0 - 0.66)*(x - 4.333333333333334)/(6.0 - 4.333333333333334)) if x <= 6.0 else (1.0)))),"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
GHGe Benefit,Social,"[[0.021, 0.0], [0.13, 1.0]]",lambda x: (9.17431192661)*x**1 + (-0.192660550459),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Net Power Output,Technical,"[[300.0, 0.0], [1630.0, 1.0]]",lambda x: (0.000751879699248)*x**1 + (-0.225563909774),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Load following Capabilities,Technical,"[[0.21, 0.0], [2.5, 0.75], [4.25, 1.0]]",lambda x: (-0.0457063797459)*x**2 + (0.451375206142)*x**1 + (-0.092773141943),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": 2.5, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Electricity Market Benefit,Social,"[[0.0, 1.0]]",,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
