name,group,min,max,unit,type
Thermal Efficiency,Technical,30.8,36.17,%,positive
Discharge Burnup,Technical,46.5,55.0,MWD/kgHM,positive
Capital Investment Budgeted,Economic,4000.0,20000.0,USD2020/kWe,negative
Operative + Fuel Costs,Economic,18.0,30.0,USD2020/MW_h,negative
Percived Safety,Social,0.0,2.0,Score,positive
Nuclear Waste,Social,5.88,27.71,tons/yr,negative
GHGe Benefit,Social,0.021,9.07,MtonCO2-eq/yr,positive
Electricity Market Benefit,Social,0.0,49.0,EUR/MW_h,positive
Load following Capabilities,Technical,0.21,4.25,(%Pnom)/min,positive
Net Power Output,Technical,300.0,1630.0,MW_e,positive
Design Maturity,Feasibility,1.0,6.0,Score,positive
Licensing Status,Feasibility,1.0,6.0,Score,positive
Supplier Availbility,Feasibility,1.0,6.0,Score,positive
Design Complexity,Economic,1.0,6.0,Score,positive
Construction Complexity,Economic,1.0,6.0,Score,positive
